timestamp,raw_text,engine_input,prediction,prediction_int,confidence,entropy_flag,top_drivers
2026-02-08 18:18:45,LOVE HATE LOVE 😊,,Negative,0,0.8708,Clear Signal,word_neg_count(-4.1666)|emoji_pos_count(1.2235)|word_pos_count(0.9037)
2026-02-08 18:18:52,😊😊😊😊,,Positive,1,0.9945,Clear Signal,emoji_pos_count(1.2235)
2026-02-08 18:19:00,!!!!!!!!!,,Positive,1,0.5752,Clear Signal,
2026-02-08 23:19:54,hello,,Positive,1,0.5687,High Ambiguity,hello(-0.0265)
2026-02-08 23:21:28,yellow,,Positive,1,0.5731,High Ambiguity,
2026-02-08 23:35:07,i love having bugs 😭,,Positive,1,0.5073,High Ambiguity,word_pos_count(0.8695)|love(-0.4693)|having(-0.4422)
2026-02-08 23:38:52,i love having bugs 😭,,Positive,1,0.5073,High Ambiguity,word_pos_count(0.8695)|love(-0.4693)|having(-0.4422)
2026-02-08 23:43:19,,,Positive,1,0.5739,High Ambiguity,
2026-02-08 23:43:19,,,Positive,1,0.5739,High Ambiguity,
2026-02-08 23:43:22,i love having bugs 😭,,Negative,0,0.8,Clear Signal,word_pos_count(0.8695)|love(-0.4693)|having(-0.4422)
2026-02-08 23:45:03,i love having bugs 😭,,Negative,0,0.8,Clear Signal,word_pos_count(0.8695)|love(-0.4693)|having(-0.4422)
2026-02-08 23:51:46,i love you baby,,Positive,1,0.7125,Clear Signal,word_pos_count(0.8695)|love(-0.4693)|you(-0.1327)
2026-02-08 23:51:46,i hate you baby,,Negative,0,0.9745,Clear Signal,word_neg_count(-4.0896)|hate(0.3429)|you(-0.1327)
2026-02-08 23:51:47,today was okay 😊,,Positive,1,0.8123,Clear Signal,was(-0.575)|emoji_pos_count(0.1378)|okay(0.1278)
2026-02-08 23:51:47,today was okay 😭,,Negative,0,0.8,Clear Signal,was(-0.575)|okay(0.1278)|emoji_neg_count(-0.0502)
2026-02-08 23:51:47,i love having bugs 😭,,Negative,0,0.8,Clear Signal,word_pos_count(0.8695)|love(-0.4693)|having(-0.4422)
2026-02-08 23:51:47,"great, another meeting 😧",,Negative,0,0.8,Clear Signal,word_pos_count(0.8695)|great(0.4232)|another(0.3148)
2026-02-08 23:51:47,love hate love 😊,,Negative,0,0.8488,Clear Signal,word_neg_count(-4.0896)|word_pos_count(0.8695)|love(-0.4693)
2026-02-08 23:51:47,😊😊😊😊,,Positive,1,0.997,Clear Signal,emoji_pos_count(0.1378)
2026-02-08 23:51:47,😭😧😔,,Negative,0,0.8,Clear Signal,emoji_neg_count(-0.0502)
2026-02-08 23:51:48,test text 😊,,Positive,1,0.8424,Clear Signal,emoji_pos_count(0.1378)
2026-02-08 23:51:48,!!!!!!!!!!!!!!!,,Positive,1,0.5739,High Ambiguity,
2026-02-08 23:51:59,what happened? ,,Positive,1,0.5493,High Ambiguity,what(-0.2759)|happened(0.0719)
2026-02-08 23:54:23,i love you baby,,Positive,1,0.7125,Clear Signal,word_pos_count(0.8695)|love(-0.4693)|you(-0.1327)
2026-02-08 23:54:23,i hate you baby,,Negative,0,0.9745,Clear Signal,word_neg_count(-4.0896)|hate(0.3429)|you(-0.1327)
2026-02-08 23:54:23,today was okay 😊,,Positive,1,0.8123,Clear Signal,was(-0.575)|emoji_pos_count(0.1378)|okay(0.1278)
2026-02-08 23:54:23,today was okay 😭,,Negative,0,0.8,Clear Signal,emoji_neg_count(-0.0502)|was(-0.575)|okay(0.1278)
2026-02-08 23:54:23,i love having bugs 😭,,Negative,0,0.8,Clear Signal,emoji_neg_count(-0.0502)|word_pos_count(0.8695)|love(-0.4693)
2026-02-08 23:54:23,"great, another meeting 😧",,Negative,0,0.8,Clear Signal,emoji_neg_count(-0.0502)|word_pos_count(0.8695)|great(0.4232)
2026-02-08 23:54:23,love hate love 😊,,Negative,0,0.8488,Clear Signal,word_neg_count(-4.0896)|word_pos_count(0.8695)|love(-0.4693)
2026-02-08 23:54:23,😊😊😊😊,,Positive,1,0.997,Clear Signal,emoji_pos_count(0.1378)
2026-02-08 23:54:23,😭😧😔,,Negative,0,0.8,Clear Signal,emoji_neg_count(-0.0502)
2026-02-08 23:54:23,test text 😊,,Positive,1,0.8424,Clear Signal,emoji_pos_count(0.1378)
2026-02-08 23:54:23,!!!!!!!!!!!!!!!,,Positive,1,0.5739,High Ambiguity,
2026-02-08 23:54:31,i love hate you baby,,Negative,0,0.9523,Clear Signal,word_neg_count(-4.0896)|word_pos_count(0.8695)|love(-0.4693)
2026-02-08 23:56:52,i hate love you baby,,Negative,0,0.9506,Clear Signal,word_neg_count(-4.0896)|word_pos_count(0.8695)|love(-0.4693)
2026-02-09 00:30:23,  q,,Positive,1,0.5739,High Ambiguity,
2026-02-11 19:27:05,ice cream,,Positive,1,0.5739,High Ambiguity,
2026-02-11 19:29:35,eye cream,,Positive,1,0.5739,High Ambiguity,
